,,,,,,
,occupation_cd1_v2,occupation_cd2_v2,occupation_cd3_v2,occupation_cd_name,jobtype_detail_v2,jobtype_detail_name
,700,700,700,美容・理容・エステ系,56,メイク・ネイル
,700,700,700,美容・理容・エステ系,57,その他(美容・理容・エステ系)
,1100,1100,1100,IT・クリエイティブ系,74,SE・エンジニア・プログラマー
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1100,1100,1100,IT・クリエイティブ系,74,SE・エンジニア・プログラマー
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1100,1100,1100,IT・クリエイティブ系,74,SE・エンジニア・プログラマー
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1100,1100,1100,IT・クリエイティブ系,77,その他(IT・クリエイティブ系)
,1100,1100,1100,IT・クリエイティブ系,74,SE・エンジニア・プログラマー
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1100,1100,1100,IT・クリエイティブ系,74,SE・エンジニア・プログラマー
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1100,1100,1100,IT・クリエイティブ系,74,SE・エンジニア・プログラマー
,1100,1100,1100,IT・クリエイティブ系,74,SE・エンジニア・プログラマー
,1100,1100,1100,IT・クリエイティブ系,74,SE・エンジニア・プログラマー
,1100,1100,1100,IT・クリエイティブ系,74,SE・エンジニア・プログラマー
,1100,1100,1100,IT・クリエイティブ系,77,その他(IT・クリエイティブ系)
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1200,1200,1200,その他,80,ナイトワーク
,1200,1200,1200,その他,80,ナイトワーク
,1200,1200,1200,その他,80,ナイトワーク
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,600,600,600,軽作業・工場・建築・土木系,25,軽作業
,600,600,600,軽作業・工場・建築・土木系,51,建築・土木・設備
,1200,1200,1200,その他,81,その他(その他)
,600,600,600,軽作業・工場・建築・土木系,51,建築・土木・設備
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,400,400,400,オフィスワーク・事務・営業系,33,事務・データ入力・受付
,1000,1000,1000,イベント・キャンペーン系,70,モニター・調査・アンケート
,1200,1200,1200,その他,78,技術職・専門職
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,1100,1100,1100,IT・クリエイティブ系,76,制作・編集・デザイナー・クリエイター
,900,900,900,アミューズメント・エンタメ系,66,パチンコ・スロット
,600,600,600,軽作業・工場・建築・土木系,49,搬入・搬出・設営
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,1000,1000,1000,イベント・キャンペーン系,71,キャンペーン・サンプリング・PR
,1000,1000,1000,イベント・キャンペーン系,70,モニター・調査・アンケート
,1200,1200,1200,その他,81,その他(その他)
,,,,,,
,,,,,,
,,,,,
